PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_URL,PLANT_LOCATION,TOPIC,,TYPE_URL
Aschach Hydroelectric Power Plant Austria,287,Austria,Upper Austria,HYDRO,Environmentally Responsible,48.3853,14.023,"48.3853, 14.023",Dam with run-of-river generation,Base Load,http://www.globalenergyobservatory.org/geoid/45057,"Aschach, Upper Austria, Austria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Abwinden-Asten Hydroelectric Power Plant Austria,168,Austria,Upper Austria,HYDRO,Environmentally Responsible,48.24798,14.4305,"48.24798, 14.4305",Barrage with run-of-river Generation,Base Load,http://www.globalenergyobservatory.org/geoid/45165,"Abwinden-Asten, Upper Austria, Austria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Vermunt Hydroelectric Power Plant Austria,157,Austria,Vorarlberg,HYDRO,Environmentally Responsible,46.9688,10.0558,"46.9688, 10.0558",Water discharged from another project,Intermediate Load,http://www.globalenergyobservatory.org/geoid/45209,"Partenen, Vorarlberg, Austria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Zongo Hydroelectric Power Plant Bolivia,11,Bolivia,La Paz,HYDRO,Environmentally Responsible,-16.2719,-68.1227,"-16.2719, -68.1227",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44738,"Huayna Potasi, La Paz, Bolivia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Cahua Hydroelectric Power Plant Bolivia,30,Bolivia,La Paz,HYDRO,Environmentally Responsible,-16.04561,-67.9939,"-16.04561, -67.9939",Water discharged from another project,,http://www.globalenergyobservatory.org/geoid/44748,"Huayna Potasi, La Paz, Bolivia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Mostar Hydroelectric Power Plant Bosnia and Herzegovina,75,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.3776,17.8449,"43.3776, 17.8449",Dam on river with reservoir,Seasonal: Base,http://www.globalenergyobservatory.org/geoid/44773,"Mostar, Herzegovina-Neretva, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,180,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.692406,17.732527,"43.692406, 17.732527",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44767,"Jablanica, Herzegovina-Neretva, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina,30,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.3375,17.3261,"43.3375, 17.3261",,,http://www.globalenergyobservatory.org/geoid/44808,"Grude, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Trebinje II Hydroelectric Power Plant Bosnia and Herzegovina,8,Bosnia and Herzegovina,Srpska,HYDRO,Environmentally Responsible,42.70664,18.3805,"42.70664, 18.3805",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44806,"4km upstream from Trebinje, Srpska, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Krupa Hydroelectric Power Plant Bosnia and Herzegovina,48.5,Bosnia and Herzegovina,Srpska,HYDRO,Environmentally Responsible,44.5624,17.135,"44.5624, 17.135",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44818,"Krupa, Srpska, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
