PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_LOCATION,TOPIC
Aschach Hydroelectric Power Plant Austria,287,Austria,Upper Austria,HYDRO,Environmentally Responsible,48.3853,14.023,"48.3853, 14.023",Dam with run-of-river generation,Base Load,"Aschach, Upper Austria, Austria",POWERPLANTS
Abwinden-Asten Hydroelectric Power Plant Austria,168,Austria,Upper Austria,HYDRO,Environmentally Responsible,48.24798,14.4305,"48.24798, 14.4305",Barrage with run-of-river Generation,Base Load,"Abwinden-Asten, Upper Austria, Austria",POWERPLANTS
Vermunt Hydroelectric Power Plant Austria,157,Austria,Vorarlberg,HYDRO,Environmentally Responsible,46.9688,10.0558,"46.9688, 10.0558",Water discharged from another project,Intermediate Load,"Partenen, Vorarlberg, Austria",POWERPLANTS
Zongo Hydroelectric Power Plant Bolivia,11,Bolivia,La Paz,HYDRO,Environmentally Responsible,-16.2719,-68.1227,"-16.2719, -68.1227",Dam on river with reservoir,,"Huayna Potasi, La Paz, Bolivia",POWERPLANTS
Cahua Hydroelectric Power Plant Bolivia,30,Bolivia,La Paz,HYDRO,Environmentally Responsible,-16.04561,-67.9939,"-16.04561, -67.9939",Water discharged from another project,,"Huayna Potasi, La Paz, Bolivia",POWERPLANTS
Mostar Hydroelectric Power Plant Bosnia and Herzegovina,75,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.3776,17.8449,"43.3776, 17.8449",Dam on river with reservoir,Seasonal: Base,"Mostar, Herzegovina-Neretva, Bosnia and Herzegovina",POWERPLANTS
Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,180,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.692406,17.732527,"43.692406, 17.732527",Dam on river with reservoir,,"Jablanica, Herzegovina-Neretva, Bosnia and Herzegovina",POWERPLANTS
Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina,30,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.3375,17.3261,"43.3375, 17.3261",,,"Grude, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina",POWERPLANTS
Trebinje II Hydroelectric Power Plant Bosnia and Herzegovina,8,Bosnia and Herzegovina,Srpska,HYDRO,Environmentally Responsible,42.70664,18.3805,"42.70664, 18.3805",Dam on river with reservoir,,"4km upstream from Trebinje, Srpska, Bosnia and Herzegovina",POWERPLANTS
Krupa Hydroelectric Power Plant Bosnia and Herzegovina,48.5,Bosnia and Herzegovina,Srpska,HYDRO,Environmentally Responsible,44.5624,17.135,"44.5624, 17.135",Dam on river with reservoir,,"Krupa, Srpska, Bosnia and Herzegovina",POWERPLANTS
Balbina Dam Hydroelectric Power Plant Brazil,250,Brazil,Amazonas,HYDRO,Environmentally Responsible,-1.91722,-59.473611,"-1.91722, -59.473611",Dam on river with reservoir,,"Manaus, Amazonas, Brazil",POWERPLANTS
Sobradinho Hydroelectric Power Plant Brazil,1050,Brazil,Bahia,HYDRO,Environmentally Responsible,-9.4316,-40.8278,"-9.4316, -40.8278",Dam on river with reservoir,,"Petrolina, Bahia, Brazil",POWERPLANTS
Serra da Mesa (Sao Felix) Hydroelectric Power Plant Brazil,1275,Brazil,Goias,HYDRO,Environmentally Responsible,-13.83417,-48.30444,"-13.83417, -48.30444",,,"Minacu, Goias, Brazil",POWERPLANTS
Mascarenhas de Moraes (Peixoto) Hydroelectric Power Plant Brazil,476,Brazil,Minas Gerais,HYDRO,Environmentally Responsible,-20.2861,-47.0646,"-20.2861, -47.0646",Dam on river with reservoir,,"Ibiraci, Minas Gerais, Brazil",POWERPLANTS
Miranda Hydroelectric Power Plant Brazil,408,Brazil,Minas Gerais,HYDRO,Environmentally Responsible,-18.909,-48.0425,"-18.909, -48.0425",Dam on river with reservoir,,"East of Uberlandia, Minas Gerais, Brazil",POWERPLANTS
Tucurui Hydroelectric Power Plant Brazil,8370,Brazil,Para,HYDRO,Environmentally Responsible,-3.831667,-49.646667,"-3.831667, -49.646667",Dam on river with reservoir,,"Tucurui, Para, Brazil",POWERPLANTS
